Age,Temperature
7518.73486,0.03
7538.68262,-0.93
7557.28027,0.70
7576.21826,-0.71
7595.22070,0.83
7614.23779,-1.14
7633.49609,-1.71
7654.58057,-0.82
7675.59277,-0.46
7694.80908,0.43
7713.66211,-1.88
7733.28223,-1.14
7753.18359,0.79
7773.04932,0.47
7792.45361,-2.03
7812.20361,-1.04
7833.15186,-1.47
7854.24023,-1.49
7874.22070,-0.34
7893.61865,0.26
7913.12061,-0.56
7932.94727,-1.06
7952.77002,-1.24
7973.72852,-1.41
7994.78516,-1.25
8016.25537,-2.19
8037.89941,-0.87
8060.00879,-3.09
8082.52441,-1.13
8104.10156,-0.65
8124.47559,-1.40
8145.28857,-2.04
8168.22363,-2.54
8191.03564,-2.25
8213.10742,-1.31
8235.14648,-1.71
8255.94727,-0.77
8276.73535,-1.35
8297.71387,-1.43
8318.74023,-1.26
8339.99707,-1.24
8361.41699,-2.40
8383.13184,-1.69
8405.27148,-1.89
8426.94141,-1.40
8447.56250,-0.74
8468.13672,-0.70
8488.25391,-0.85
8508.36719,-2.79
8528.88184,-0.74
8549.50879,0.38
8569.62500,-0.81
8589.31641,-1.54
8608.98145,0.02
8628.54395,-1.22
8648.09375,-1.13
8668.16602,-0.70
8688.30762,-1.60
8708.86133,-1.55
8729.69824,-0.84
8750.14453,-1.29
8769.94727,-0.44
8789.86426,-2.00
8811.45508,-1.62
8833.03223,-0.93
8852.47656,-0.19
8871.72363,-0.90
8891.24512,-0.86
8910.98535,-0.86
8930.55859,-1.13
8949.62988,0.05
8968.69824,-0.10
8988.20996,-1.49
9007.79590,-0.67
9027.30762,-0.94
9046.75586,-0.59
9066.20117,-1.09
9085.62891,-0.49
9105.04492,-0.49
9126.03223,-2.56
9147.31738,-1.90
9167.60547,-0.06
9187.44238,-1.42
9206.50879,0.11
9224.43359,0.54
9242.35645,-0.51
9261.82617,-0.99
9281.49414,-1.57
9300.67285,-0.04
9319.49219,-0.28
9338.29590,-0.45
9357.02734,-0.57
9375.74414,-0.14
9393.95703,-0.33
9412.00000,0.24
9429.85156,
9447.16602,0.48
9464.46777,-0.48
9483.60059,-2.02
9503.57812,-0.33
9523.06836,-1.11
9541.80664,0.04
9560.53027,-0.75
9578.31836,0.79
9596.10449,-0.10
9614.36035,-1.16
9633.12500,-0.08
9651.76953,-0.38
9669.01953,1.11
9686.26855,-0.04
9703.60352,0.01
9721.02539,0.45
9738.43359,-0.07
9755.05371,1.33
9771.61035,0.62
9788.95020,-2.40
9808.65137,-0.13
9828.33984,-0.20
9847.20898,-1.57
9866.01172,0.68
9884.24121,-0.61
9901.97559,0.15
9919.73633,-0.65
