Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
1964,0.1077,0.0776,0.0675,0.0525,0.0432,0.0313,0.0105,-0.0165,-0.0475,-0.0877,-0.1207,0.1068
1965,-0.1594,-0.1671,-0.1636,-0.1639,-0.1622,-0.1581,-0.1559,-0.1458,-0.1326,-0.1084,-0.0991,-0.1495
1966,-0.076,-0.0627,-0.0546,-0.0465,-0.0429,-0.0345,-0.0219,-0.0165,-0.0101,-0.017,-0.0134,-0.078
1967,-0.0278,-0.0385,-0.0381,-0.03,-0.0167,-0.024,-0.031,-0.0331,-0.0379,-0.0222,-0.0201,-0.0227
1968,-0.0197,-0.0165,-0.0041,-0.0105,-0.0275,-0.0264,-0.0265,-0.0273,-0.0256,-0.0324,-0.0293,-0.0131
1969,-0.0248,-0.0229,-0.0253,-0.0033,0.018,0.0258,0.0352,0.0443,0.0523,0.0543,0.0688,-0.0296
1970,0.1139,0.1421,0.1346,0.1294,0.1182,0.1143,0.1047,0.0951,0.0887,0.0797,0.0658,0.0929
1971,0.0268,-0.0107,-0.0251,-0.0469,-0.0578,-0.0706,-0.0741,-0.0782,-0.0825,-0.0858,-0.0846,0.0372
1972,-0.0981,-0.0938,-0.0819,-0.0681,-0.0594,-0.0426,-0.0321,-0.0191,-0.0137,0.0001,0.0037,-0.0783
1973,0.0681,0.1127,0.1401,0.158,0.1747,0.1848,0.1891,0.1884,0.1914,0.1876,0.1828,0.0264
1974,0.1262,0.0739,0.0422,0.0178,-0.0022,-0.0217,-0.0298,-0.0352,-0.0434,-0.0541,-0.0615,0.1641
1975,-0.0456,-0.0217,-0.0083,0.0017,0.0095,0.0155,0.0143,0.0076,0.0126,0.0092,0.0027,-0.0719
1976,-0.0081,-0.021,-0.0501,-0.0584,-0.0744,-0.0835,-0.091,-0.0928,-0.0978,-0.1027,-0.0942,0.0034
1977,-0.0723,-0.0423,0.0036,0.0289,0.0589,0.0857,0.1072,0.1265,0.1456,0.1707,0.196,-0.0792
1978,0.2058,0.1968,0.1895,0.177,0.1623,0.1461,0.1374,0.1259,0.1166,0.112,0.1091,0.1978
1979,0.1123,0.1091,0.1107,0.109,0.1171,0.1308,0.1396,0.1582,0.1729,0.1921,0.198,0.1123
1980,0.2396,0.2612,0.2608,0.2772,0.2905,0.2929,0.2965,0.2939,0.2897,0.2803,0.2833,0.2273
1981,0.2768,0.2778,0.292,0.2961,0.2916,0.2948,0.2956,0.2995,0.2983,0.2971,0.2871,0.2637
1982,0.2722,0.2553,0.2282,0.2155,0.2097,0.1962,0.1892,0.1807,0.1846,0.1853,0.1802,0.2999
1983,0.2134,0.2404,0.269,0.2762,0.2841,0.2958,0.306,0.3212,0.3282,0.3311,0.3545,0.1815
1984,0.3216,0.2959,0.2831,0.2713,0.2709,0.2599,0.2476,0.2348,0.2203,0.2126,0.1797,0.3411
1985,0.1403,0.1272,0.1201,0.12,0.1127,0.1126,0.1091,0.1058,0.1023,0.1032,0.11,0.149
1986,0.1465,0.1682,0.1773,0.1867,0.1913,0.2016,0.2092,0.2126,0.2185,0.2249,0.2279,0.1342
1987,0.2285,0.2471,0.2436,0.2469,0.2538,0.2578,0.2786,0.2964,0.3181,0.3288,0.3434,0.2296
1988,0.3893,0.38,0.399,0.4108,0.4148,0.4219,0.4156,0.4103,0.4011,0.3983,0.3898,0.3696
1989,0.348,0.3411,0.3288,0.316,0.3074,0.2979,0.2945,0.293,0.2914,0.2917,0.2938,0.3757
1990,0.3091,0.3175,0.3505,0.3673,0.3798,0.3914,0.395,0.3988,0.3999,0.4101,0.4289,0.297
1991,0.4403,0.4452,0.4146,0.4168,0.4154,0.4213,0.4297,0.433,0.439,0.4308,0.4173,0.4328
1992,0.4072,0.4057,0.4114,0.3928,0.3858,0.3692,0.3434,0.3228,0.2955,0.2776,0.259,0.4055
1993,0.2498,0.2455,0.2444,0.2462,0.2476,0.2485,0.2566,0.2626,0.2718,0.2825,0.2823,0.2571
1994,0.2775,0.251,0.2457,0.2491,0.2523,0.2601,0.2669,0.2753,0.2887,0.3039,0.334,0.2853
1995,0.3624,0.4133,0.4222,0.4266,0.4242,0.4308,0.4403,0.4564,0.4612,0.462,0.4622,0.3409
1996,0.4339,0.4145,0.4028,0.3914,0.3945,0.3852,0.3764,0.361,0.3513,0.3338,0.3193,0.4577
1997,0.3321,0.3298,0.3413,0.3565,0.3592,0.3739,0.3894,0.4085,0.4381,0.4732,0.4986,0.3228
1998,0.5378,0.5742,0.5891,0.6125,0.6328,0.6441,0.6629,0.6739,0.6658,0.6531,0.6386,0.5187
1999,0.6258,0.6097,0.5873,0.5642,0.5426,0.5222,0.4944,0.4684,0.4576,0.4477,0.444,0.6344
2000,0.431,0.4202,0.4357,0.4501,0.4548,0.4538,0.4528,0.46,0.4634,0.4572,0.4478,0.4438
2001,0.4367,0.4242,0.4303,0.425,0.4361,0.4469,0.4608,0.4731,0.4787,0.4952,0.5312,0.4262
2002,0.566,0.5985,0.6118,0.6123,0.6094,0.6137,0.6191,0.6135,0.6186,0.6166,0.6086,0.5473
2003,0.6018,0.5833,0.5651,0.5641,0.5666,0.5623,0.5555,0.5625,0.5688,0.5896,0.5885,0.6023
2004,0.6057,0.6191,0.6296,0.6324,0.6198,0.6142,0.6092,0.6003,0.5913,0.5822,0.5973,0.6134
2005,0.5804,0.563,0.5626,0.574,0.5918,0.6086,0.6233,0.6325,0.6453,0.6516,0.6489,0.5783
2006,0.6447,0.6537,0.6455,0.6277,0.6187,0.616,0.6131,0.613,0.6085,0.6072,0.6003,0.6585
2007,0.6481,0.6513,0.6574,0.6754,0.6804,0.6718,0.664,0.658,0.6533,0.6441,0.6335,0.6125
2008,0.5592,0.5356,0.5436,0.5227,0.5137,0.5132,0.5174,0.5181,0.5143,0.5228,0.5356,0.61
2009,0.5687,0.5846,0.5693,0.5836,0.5907,0.6026,0.608,0.6197,0.6344,0.6321,0.6322,0.5419
2010,0.6451,0.6568,0.6791,0.6936,0.7079,0.7129,0.72,0.7166,0.7053,0.704,0.7121,0.6367
2011,0.6826,0.6651,0.6438,0.6291,0.6137,0.6065,0.5981,0.5945,0.5967,0.5974,0.5739,0.7014
2012,0.5748,0.5686,0.5628,0.5696,0.5819,0.5867,0.5917,0.5962,0.6068,0.6124,0.631,0.5788
2013,0.6377,0.6554,0.6631,0.6487,0.6481,0.6464,0.6445,0.6438,0.6404,0.6384,0.6485,0.624
2014,0.6767,0.6637,0.6767,0.6967,0.7033,0.7099,0.7126,0.7241,0.7325,0.7414,0.7298,0.6679
2015,0.7509,0.7846,0.7952,0.793,0.7983,0.8084,0.8175,0.8238,0.8354,0.8526,0.8756,0.7408
2016,0.9201,0.9457,0.973,0.9979,0.9992,1.0006,1.0058,1.0079,1.0038,0.9819,0.964,0.8998
